date,hour,temperature,humidity,windspeed,rainfall,status,update_date
2026-03-19,15,13,50,0.1,0,맑음,
2026-03-19,16,13,60,0.7,0,맑음,
2026-03-19,17,11,65,1.5,0,구름많음,
2026-03-19,18,10,70,1.2,0,구름많음,
2026-03-19,19,7,75,0.1,0,구름많음,
2026-03-19,20,6,80,0.9,0,흐림,
2026-03-19,21,5,85,0.8,0,맑음,
2026-03-19,22,5,85,0.9,0,맑음,
2026-03-19,23,4,90,2,0,맑음,
2026-03-20,0,4,90,2.6,0,구름많음,
2026-03-20,1,3,80,3.2,0,맑음,
2026-03-20,2,3,80,3.3,0,맑음,
2026-03-20,3,3,75,3.3,0,구름많음,
2026-03-20,4,3,80,3.3,0,구름많음,
2026-03-20,5,2,80,3.1,0,구름많음,
2026-03-20,6,2,80,3.1,0,맑음,
2026-03-20,7,3,70,3.5,0,맑음,
2026-03-20,8,4,55,3.6,0,구름많음,
2026-03-20,9,7,45,3.5,0,구름많음,
2026-03-20,10,9,35,3.6,0,맑음,
2026-03-20,11,11,30,3.8,0,맑음,
2026-03-20,12,12,25,3.6,0,맑음,
2026-03-20,13,13,25,3.6,0,맑음,
2026-03-20,14,14,25,3.6,0,맑음,
2026-03-20,15,14,25,3.5,0,맑음,
2026-03-20,16,14,35,3.2,0,맑음,
2026-03-20,17,13,45,2.7,0,맑음,
2026-03-20,18,11,55,1.3,0,맑음,
2026-03-20,19,9,60,0.8,0,맑음,
2026-03-20,20,8,65,1.2,0,맑음,
2026-03-20,21,7,70,1.3,0,맑음,
2026-03-20,22,6,70,1.7,0,맑음,
2026-03-20,23,4,70,1.7,0,맑음,
2026-03-21,0,4,70,1.7,0,맑음,
2026-03-21,1,3,55,1.3,0,맑음,
2026-03-21,2,3,60,1.1,0,맑음,
2026-03-21,3,2,65,0.8,0,맑음,
2026-03-21,4,2,65,0.7,0,맑음,
2026-03-21,5,2,65,0.6,0,맑음,
2026-03-21,6,2,65,0.4,0,맑음,
2026-03-21,7,2,60,0.2,0,맑음,
2026-03-21,8,4,50,0.1,0,맑음,
2026-03-21,9,7,40,0.8,0,맑음,
2026-03-21,10,10,35,1.2,0,맑음,
2026-03-21,11,13,30,1.9,0,맑음,
2026-03-21,12,14,25,1.7,0,맑음,
2026-03-21,13,15,25,2.1,0,맑음,
2026-03-21,14,15,25,2,0,맑음,
2026-03-21,15,15,20,1.7,0,맑음,
2026-03-21,16,15,25,1.6,0,맑음,
2026-03-21,17,14,30,1.5,0,맑음,
2026-03-21,18,12,45,0.8,0,맑음,
2026-03-21,19,9,55,1.3,0,맑음,
2026-03-21,20,8,60,1.7,0,맑음,
2026-03-21,21,8,65,1.9,0,맑음,
2026-03-21,22,7,70,1.9,0,맑음,
2026-03-21,23,6,70,2,0,맑음,
2026-03-22,0,6,70,2.1,0,맑음,
2026-03-22,1,6,75,2,0,맑음,
2026-03-22,2,5,65,1.9,0,맑음,
2026-03-22,3,5,65,1.8,0,맑음,
2026-03-22,4,5,70,1.6,0,맑음,
2026-03-22,5,5,65,1.6,0,구름많음,
2026-03-22,6,5,65,1.4,0,구름많음,
2026-03-22,7,5,65,1.3,0,구름많음,
2026-03-22,8,6,60,1.2,0,구름많음,
2026-03-22,9,8,55,0.5,0,구름많음,
2026-03-22,10,10,45,1.7,0,구름많음,
2026-03-22,11,12,35,2.5,0,구름많음,
2026-03-22,12,13,30,2.4,0,구름많음,
2026-03-22,13,14,30,2,0,구름많음,
2026-03-22,14,15,30,2.1,0,구름많음,
2026-03-22,15,15,30,1.6,0,구름많음,
2026-03-22,16,14,35,1.4,0,흐림,
2026-03-22,17,14,40,2.2,0,흐림,
2026-03-22,18,12,55,1.7,0,흐림,
2026-03-22,19,11,60,1.5,0,흐림,
2026-03-22,20,10,65,1.8,0,흐림,
2026-03-22,21,8,70,1.3,0,구름많음,
2026-03-22,22,8,70,1,0,구름많음,
2026-03-22,23,8,70,0.9,0,맑음,
2026-03-23,0,8,75,1.2,0,맑음,
2026-03-23,3,6,80,1,0,맑음,
2026-03-23,6,5,80,1,0,맑음,
2026-03-23,9,10,55,1,0,맑음,
2026-03-23,12,15,35,1,0,맑음,
2026-03-23,15,16,35,1,0,맑음,
2026-03-23,18,10,60,1,0,구름많음,
2026-03-23,21,7,0,1,0,구름많음,
