,title,url,body
No,,,
1,"미 연방법원 ""이민자 무연고 제3국 추방은 위법…취소해야""",https://news.sbs.co.kr/news/endPage.do?news_id=N1008456020,"▲ 27일 미니애폴리스 연방법원 광장에서 이민세관단속국(ICE)에 반대하는 시위가 열리고 있다.

 트럼프 미국 행정부가 이민자들을 아무런 연고가 없는 제3국으로 추방하는 최근 정책에 대해 연방법원이 제동을 걸었습니다. 
  
 24일(현지시간) AP통신에 따르면 매사추세츠주 연방지방법원의 브라이언 E. 머피 판사는 국토안보부(DHS)의 제3국 추방 정책이 위법하며 이를 취소해야 한다고 판결했습니다. 
  
 다만, 정부가 이번 판결에 항소할 수 있도록 결정의 효력을 15일간 유예했습니다. 
  
 머피 판사는 판결문에서 ""이민자들"
2,"""사무실에 누가 있다"" 한밤 침입자…반전 정체",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455770,"미국 오하이오주의 한 방송국에서 뜻밖의 불청객이 발견됐습니다. 
  
 쓰레기통을 뒤적거리는 모습, 정체는 바로 라쿤이었는데요. 
  
 직원들은 요즘 안 그래도 사무실 안에 누군가 몰래 들어와 숨어 사는 것 같다는 의심을 하고 있었다며 범인을 밝혀낸 야근자의 공이 크다고 전했습니다. 
  
 무단 침입은 범죄지만 귀여우니까 한번 봐줘야할까 싶네요. 
  
 (화면출처 : X @ferozwala)"
3,'갤럭시 S26' 시리즈 공개…AI가 먼저 알아서 제안한다,https://news.sbs.co.kr/news/endPage.do?news_id=N1008455873,"<앵커> 
  
 삼성이 새 갤럭시 스마트폰 시리즈를 발표했습니다. AI가 전화나 메시지를 확인하고, 이용자에게 뭘 하면 좋을지 제안을 하기도 하고, AI 기능이 대폭 강화됐습니다. 
  
 뉴욕에서 김범주 특파원입니다. 
  
 <기자> 
  
 삼성전자가 새 갤럭시 S26 시리즈를 내놓으면서 강조한 건 처음부터 끝까지 인공지능이었습니다. 
  
 인공지능이 전화나 메시지 내용을 실시간으로 확인하고, 스스로 먼저 할 일을 제안하는 기능이 포함된 겁니다. 
  
 [레이첼 로버츠/미국 삼성전자 매니저 : 친구들이 다음 주 토요일에 "
4,3억 8천만 명 본 '최초의 유튜브'…박물관 걸렸다,https://news.sbs.co.kr/news/endPage.do?news_id=N1008455769,"이제 유튜브 영상도 박물관에 전시되는 시대인가요. 
  
 최근 영국 한 유명 박물관의 소장품 소식이 눈길을 끌고 있습니다. 
  
 2005년 4월 유튜브 공동 창립자 자베드 카림이 세계 최초로 유튜브에 올린 Me at the zoo라는 제목의 영상입니다. 
  
 미국 샌디에이고 동물원에서 촬영한 19초짜리 이 짧은 영상은, 그 뒤 조회수 3억 8000만 회를 돌파하며, 유튜브의 시작을 알린 상징적인 기록이 됐는데요. 
  
 그런데 최근 영국 런던 빅토리아 앤 알버트 박물관이 이 영상을 전시 소장품으로 확보했다고 밝혔습니다. "
5,"안과 다녀온 뒤 ""전부 초록색""…'형광 눈동자' 깜짝",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455767,"영화 속 장면이 현실이 됐네요. 
  
 형광빛 눈을 가진 여성이 등장해 화제를 모으고 있습니다. 
  
 미용 렌즈로도 보기 힘든 색이죠. 
  
 아일랜드에 사는 여성인데, 놀랍게도 눈동자가 형광 초록색입니다. 
  
 여성은 안과 진료를 받은 뒤 이런 변화가 생겼다고 설명했는데요. 
  
 렌즈를 착용한 상태에서 검사를 받던 중 간호사가 안약을 넣었고 그 뒤부터 세상이 초록빛으로 보이기 시작했다고 하네요. 
  
 렌즈를 빼고 식염수로 여러 차례 씻어냈지만 초록색 착색은 쉽게 사라지지 않았다는데요. 
  
 안과 검사에 자주 "
6,"미국, 이란 핵 합의에 '일몰 조항 배제' 요구…""무기한 유지돼야""",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455917,"▲ 스티브 윗코프 미국 대통령 중동특사

 이란과 3차 핵 협상을 앞둔 미국 트럼프 행정부가 향후 체결될 핵 합의에 '무기한 유지' 조항을 요구하고 있다고 미 매체 악시오스가 25일(현지 시간) 보도했습니다. 
  
 이는 이란의 핵무기 보유를 영구적으로 봉쇄하려는 미국의 입장이 반영된 것으로 보입니다. 
  
 다만 이란이 미국의 이러한 기준을 수용할 의지가 있는지를 두고는 회의적인 시각이 적지 않아 협상 타결이 쉽지 않을 것이라는 전망이 제기됩니다. 
  
 스티브 윗코프 대통령 중동특사는 전날 비공개로 진행된 친이스라엘 로비 "
7,"""남미서 1㎏ 미만 수각류 공룡 화석 발견…소형 공룡 진화 단서""",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455807,"▲ 아르헨티나에서 발견된 9천만 년 전 소형 수각류 공룡 '알나셰트리' 복원도

 아르헨티나에서 9천만 년 전 살아있을 때 체중이 1㎏ 미만으로, 지금까지 남미에서 발견된 공룡 중 가장 작은 것으로 추정되는 수각류(theropods) 공룡의 화석이 거의 완전한 상태로 발견됐습니다. 
  
 미국 미네소타대 피터 마코비키 교수팀은 26일 과학 저널 네이처(Nature)에서 아르헨티나 북부 파타고니아에서 발견된 소형 공룡 화석이 체중 1kg 미만으로 남미에서 발견된 비조류 공룡 중 가장 작은 종으로 분석됐다고 밝혔습니다. 
  
 '알"
8,미 아메리칸항공 여객기서 총탄 관통자국 발견…당국 조사,https://news.sbs.co.kr/news/endPage.do?news_id=N1008455805,"▲ 아메리칸항공 여객기 (자료사진)

 미국 아메리칸항공 여객기에서 총알 관통 자국이 발견돼 당국이 조사에 착수했다고 24일(현지시간) 미 CBS 방송이 보도했습니다. 
  
 CBS가 입수한 문서에 따르면 지난 22일 플로리다주 마이애미에서 출발해 콜롬비아 메데인에 도착한 보잉 737 맥스 8 항공기의 오른쪽 날개 부위에서 구멍이 발견됐습니다. 
  
 착륙 후 지상 점검 요원들은 우측 보조날개를 완전히 관통하는 구멍이 발생했다고 보고했습니다. 
  
 구멍이 언제, 어디에서 발생했는지는 아직 확인되지 않았지만, 이는 총탄이 뚫고"
9,"""핵무기 개발 용납 안 해""…오늘 3차 협상 '분수령'",https://news.sbs.co.kr/news/endPage.do?news_id=N1008455813,"<앵커> 
  
 오늘(26일) 스위스 제네바에서 미국과 이란이 세 번째 핵 협상을 시작합니다. 이란은 이번 협상에서 좋을 결과가 있을 걸로 예상하고 있지만 결렬된다면 미국이 이란을 공습할 가능성이 아주 높아질 걸로 보입니다. 
  
 파리에서 권영인 특파원입니다. 
  
 <기자> 
  
 오늘 스위스 제네바에서 열리는 미국과 이란의 3차 핵 협상을 앞두고 이란 측 반응은 긍정적이었습니다. 
  
 이란은 그제 아라그치 외무장관이 SNS에 미국과의 핵협상 타결이 가시권에 와 있다며 서로 우려를 해소하고 합의할 역사적 기회를 맞았다"
