epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.93855,2.69346,4.37499,1.64637,0.02181,0.53333,0.05836,0.02032,2.71747,3.6685,1.67351,0,0,0
2,2.57918,2.63532,4.43642,1.89611,0.02118,0.53333,0.06777,0.02313,2.80193,3.6671,1.74525,6.99863e-06,6.99863e-06,6.99863e-06
3,2.9824,2.6399,4.38128,1.90925,0.02261,0.53333,0.06737,0.0211,2.84269,3.66609,1.77543,1.37145e-05,1.37145e-05,1.37145e-05
4,3.23052,2.61465,4.31571,1.80821,0.02242,0.53333,0.05118,0.0155,2.85533,3.67192,1.77783,2.01477e-05,2.01477e-05,2.01477e-05
5,3.46176,2.61598,4.35399,1.85734,0.01209,0.33333,0.02592,0.01053,2.92463,3.69655,1.86592,2.6298e-05,2.6298e-05,2.6298e-05
6,3.69979,2.28574,4.44761,1.64424,0.01129,0.33333,0.04786,0.02082,2.92406,3.68498,1.85919,3.21657e-05,3.21657e-05,3.21657e-05
7,3.93755,2.52149,4.38851,1.75948,0.00835,0.26667,0.02494,0.01132,2.91225,3.67615,1.84188,3.77506e-05,3.77506e-05,3.77506e-05
8,4.19967,2.54944,4.39486,1.7075,0.01303,0.33333,0.05741,0.01159,2.79379,3.59592,1.72121,4.30528e-05,4.30528e-05,4.30528e-05
9,4.54421,2.50797,4.33459,1.67973,0.02388,0.6,0.06344,0.01359,2.6928,3.59427,1.70205,4.80722e-05,4.80722e-05,4.80722e-05
10,4.88652,2.3046,4.35436,1.52228,0.01543,0.4,0.05871,0.01297,2.64963,3.58597,1.64349,5.28089e-05,5.28089e-05,5.28089e-05
11,5.22272,2.35351,4.331,1.55722,0.01645,0.4,0.04502,0.01283,2.42923,3.56848,1.46414,5.72628e-05,5.72628e-05,5.72628e-05
12,5.57722,2.20362,4.26986,1.4514,0.01554,0.4,0.06328,0.02041,2.35764,3.58432,1.46806,6.1434e-05,6.1434e-05,6.1434e-05
13,6.21936,2.12924,4.25801,1.47526,0.01838,0.6,0.10141,0.03495,2.24973,3.58305,1.38187,6.53224e-05,6.53224e-05,6.53224e-05
14,6.6407,1.91265,4.16738,1.35433,0.01843,0.6,0.15044,0.06051,2.09472,3.6456,1.30433,6.89281e-05,6.89281e-05,6.89281e-05
15,7.05075,1.92115,4.19003,1.40816,0.01683,0.53333,0.16783,0.09252,1.99698,3.6365,1.25831,7.22511e-05,7.22511e-05,7.22511e-05
16,7.43162,1.90262,3.98886,1.43402,0.01342,0.33333,0.1632,0.09819,2.01058,3.6018,1.24155,7.52913e-05,7.52913e-05,7.52913e-05
17,7.80124,1.84134,4.03875,1.32342,0.01342,0.33333,0.1632,0.09819,2.01058,3.6018,1.24155,7.80488e-05,7.80488e-05,7.80488e-05
